0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
4917,,как бы,как бы,PART,,,потом ... вернули _как бы_ .  ,ы,б, ,к,а,к,PART,как бы,ADV -,ы
4918,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
4919,,,,,,,,,,,,,,,,,
4920,# sent = 474,,,,,,,,,,,,,,,,
4921,# speaker = Илья,,,,,,,,,,,,,,,,
4922,# sent = 475,,,,,,,,,,,,,,,,
4923,,Ещё,ЕЩЕ,ADV -,,,   _Ещё_ у нас был,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
4924,,у,У,PR,,,  Ещё _у_ нас был один,у,,,,,,PR,У,PR,У
4925,,нас,МЫ,SPRO pl 1p - gen,,, Ещё у _нас_ был один интересный,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
4926,,был,БЫТЬ,V ipf praet sg indic m -,,,Ещё у нас _был_ один интересный случай,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
4927,,один,ОДИН,ANUM - nom sg plen m -,,,"у нас был _один_ интересный случай ,",н,и,д,о,,,ANUM,ОДИН,A - nom sg plen m -,Н
4928,,интересный,ИНТЕРЕСНЫЙ,A - nom sg plen m -,,,"нас был один _интересный_ случай , это",й,ы,н,с,е,р,A,ИНТЕРЕСНЫЙ,A - nom sg plen m -,Й
4929,,случай,СЛУЧАЙ,S m inan nom sg,,,"был один интересный _случай_ , это уже",й,а,ч,у,л,с,S,СЛУЧАЙ,S m inan nom sg,Й
4930,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
4931,,это,ЭТО,SPRO n - nom sg,,,"интересный случай , _это_ уже в спортлагере",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
4932,,уже,УЖЕ,ADV -,,,"случай , это _уже_ в спортлагере ,",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
4933,,в,В,PR,,,", это уже _в_ спортлагере , где",в,,,,,,PR,В,PR,В
4934,,спортлагере,СПОРТЛАГЕРЬ,S m inan loc sg,,,"это уже в _спортлагере_ , где я",е,р,е,г,а,л,S,СПОРТЛАГЕРЬ,S m inan loc sg,Ь
4935,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
4936,,где,ГДЕ,ADVPRO,,,"в спортлагере , _где_ я был ...",е,д,г,,,,ADV,ГДЕ,ADV -,Е
4937,,я,Я,SPRO sg 1p - nom,,,"спортлагере , где _я_ был ... в",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
4938,,был,БЫТЬ,V ipf praet sg indic m -,,,", где я _был_ ... в """,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
4939,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
4940,,в,В,PR,,,"я был ... _в_ "" Нептуне """,в,,,,,,PR,В,PR,В
4941,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
4942,,Нептуне,НЕПТУН,S m inan loc sg,,,"... в "" _Нептуне_ "" . ",е,н,у,т,п,е,S,НЕПТУН,S m inan loc sg,Н
4943,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
4944,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
4945,,,,,,,,,,,,,,,,,
4946,# sent = 476,,,,,,,,,,,,,,,,
4947,,У,У,PR,,,.   _У_ нас один парень,у,,,,,,PR,У,PR,У
4948,,нас,МЫ,SPRO pl 1p - gen,,,  У _нас_ один парень .,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
4949,,один,ОДИН,ANUM - nom sg plen m -,,, У нас _один_ парень . ,н,и,д,о,,,ANUM,ОДИН,A - nom sg plen m -,Н
4950,,парень,ПАРЕНЬ,S m anim nom sg,,,У нас один _парень_ .  ,ь,н,е,р,а,п,S,ПАРЕНЬ,S m anim nom sg,Ь
4951,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
4952,,,,,,,,,,,,,,,,,
4953,# sent = 477,,,,,,,,,,,,,,,,
4954,,Ну,НУ,PART,,,.   _Ну_ тоже вот мы,у,н,,,,,PART,НУ,PART,У
4955,,тоже,ТОЖЕ,PART,,,  Ну _тоже_ вот мы так,е,ж,о,т,,,PART,ТОЖЕ,PART,Е
4956,,вот,ВОТ,PART,,, Ну тоже _вот_ мы так гуляли,т,о,в,,,,PART,ВОТ,PART,Т
4957,,мы,МЫ,SPRO pl 1p - nom,,,"Ну тоже вот _мы_ так гуляли ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
4958,,так,ТАК,ADVPRO,,,"тоже вот мы _так_ гуляли , когда",к,а,т,,,,ADV,ТАК,ADV -,К
4959,,гуляли,ГУЛЯТЬ,V ipf praet pl indic - -,,,"вот мы так _гуляли_ , когда не",и,л,я,л,у,г,V,ГУЛЯТЬ,V ipf praet pl indic - -,Ь
4960,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
4961,,когда,КОГДА,CONJ,,,"так гуляли , _когда_ не на тренировке",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
4962,,не,НЕ,PART,,,"гуляли , когда _не_ на тренировке .",е,н,,,,,PART,НЕ,PART,Е
4963,,на,НА,PR,,,", когда не _на_ тренировке . ",а,н,,,,,PR,НА,PR,А
4964,,тренировке,ТРЕНИРОВКА,S f inan loc sg,,,когда не на _тренировке_ .  ,е,к,в,о,р,и,S,ТРЕНИРОВКА,S f inan loc sg,А
4965,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
4966,,,,,,,,,,,,,,,,,
4967,# sent = 478,,,,,,,,,,,,,,,,
4968,,И,И,CONJ,,,.   _И_ стоял на дороге,и,,,,,,CONJ,И,CONJ,И
4969,,стоял,СТОЯТЬ,V ipf praet sg indic m -,,,"  И _стоял_ на дороге ,",л,я,о,т,с,,V,СТОЯТЬ,V ipf praet sg indic m -,Ь
4970,,на,НА,PR,,," И стоял _на_ дороге , а",а,н,,,,,PR,НА,PR,А
4971,,дороге,ДОРОГА,S f inan loc sg,,,"И стоял на _дороге_ , а у",е,г,о,р,о,д,S,ДОРОГА,S f inan dat sg,А
4972,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
4973,,а,А,CONJ,,,"на дороге , _а_ у нас был",а,,,,,,CONJ,А,CONJ,А
4974,,у,У,PR,,,"дороге , а _у_ нас был (",у,,,,,,PR,У,PR,У
4975,,нас,МЫ,SPRO pl 1p - gen,,,", а у _нас_ был ( как",с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
4976,,был,БЫТЬ,V ipf praet sg indic m -,,,а у нас _был_ ( как это,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
4977,,(,(,PUNCT,,,,,,,,,,PUNCT,,,
4978,,как,КАК,CONJ,,,нас был ( _как_ это описать ),к,а,к,,,,CONJ,КАК,CONJ,К
4979,,это,ЭТО,SPRO n - acc sg,,,был ( как _это_ описать ) .,о,т,э,,,,SPRO,ЭТО,S n inan acc sg,О
4980,,описать,ОПИСАТЬ,V pf - - inf - -,,,( как это _описать_ ) . ,ь,т,а,с,и,п,V,ОПИСАТЬ,V pf - - inf - -,Ь
4981,,),),PUNCT,,,,,,,,,,PUNCT,,,
4982,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
4983,,,,,,,,,,,,,,,,,
4984,# sent = 479,,,,,,,,,,,,,,,,
4985,# speaker = Илья,,,,,,,,,,,,,,,,
4986,# sent = 480,,,,,,,,,,,,,,,,
4987,,Где,ГДЕ,ADVPRO,,,"   _Где_ располагался лагерь ,",е,д,г,,,,ADV,ГДЕ,ADV -,Е
4988,,располагался,РАСПОЛАГАТЬСЯ,V ipf praet sg indic m -,,,"  Где _располагался_ лагерь , он",я,с,л,а,г,а,V,РАСПОЛАГАТЬСЯ,V ipf praet sg indic m -,Я
4989,,лагерь,ЛАГЕРЬ,S m inan nom sg,,," Где располагался _лагерь_ , он был",ь,р,е,г,а,л,S,ЛАГЕРЬ,S m inan acc sg,Ь
4990,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
4991,,он,ОН,SPRO sg 3p m nom,,,"располагался лагерь , _он_ был на берегу",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
4992,,был,БЫТЬ,V ipf praet sg indic m -,,,"лагерь , он _был_ на берегу реки",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
4993,,на,НА,PR,,,", он был _на_ берегу реки :",а,н,,,,,PR,НА,PR,А
4994,,берегу,БЕРЕГ,S m inan loc2 sg,,,он был на _берегу_ реки : не,у,г,е,р,е,б,S,БЕРЕГ,S m inan loc2 sg,Г
4995,,реки,РЕКА,S f inan gen sg,,,был на берегу _реки_ : не на,и,к,е,р,,,S,РЕКА,S f inan gen sg,А
4996,,:,:,PUNCT,,,,,,,,,,PUNCT,,,
4997,,не,НЕ,PART,,,берегу реки : _не_ на самом берегу,е,н,,,,,PART,НЕ,PART,Е
4998,,на,НА,PR,,,"реки : не _на_ самом берегу ,",а,н,,,,,PR,НА,PR,А
4999,,самом,САМЫЙ,A - loc sg plen m -,,,": не на _самом_ берегу , а",м,о,м,а,с,,A,САМЫЙ,A - loc sg plen m -,Й
5000,,берегу,БЕРЕГ,S m inan loc2 sg,,,"не на самом _берегу_ , а метров",у,г,е,р,е,б,S,БЕРЕГ,S m inan loc2 sg,Г
5001,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5002,,а,А,CONJ,,,"самом берегу , _а_ метров пятьсот от",а,,,,,,CONJ,А,CONJ,А
5003,,метров,МЕТР,S m inan gen pl,,,"берегу , а _метров_ пятьсот от реки",в,о,р,т,е,м,S,МЕТР,S m inan gen pl,Р
5004,,пятьсот,ПЯТЬСОТ,NUM acc - -,,,", а метров _пятьсот_ от реки в",т,о,с,ь,т,я,NUM,ПЯТЬСОТ,NUM acc - -,Т
5005,,от,ОТ,PR,,,а метров пятьсот _от_ реки в лесу,т,о,,,,,PR,ОТ,PR,Т
5006,,реки,РЕКА,S f inan gen sg,,,метров пятьсот от _реки_ в лесу .,и,к,е,р,,,S,РЕКА,S f inan gen sg,А
5007,,в,В,PR,,,пятьсот от реки _в_ лесу . ,в,,,,,,PR,В,PR,В
5008,,лесу,ЛЕС,S m inan loc2 sg,,,от реки в _лесу_ .  ,у,с,е,л,,,S,ЛЕС,S m inan loc2 sg,С
5009,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
5010,,,,,,,,,,,,,,,,,
5011,# sent = 481,,,,,,,,,,,,,,,,
5012,,Там,ТАМ,ADVPRO,,,.   _Там_ поляна такая большая,м,а,т,,,,ADV,ТАМ,ADV -,М
5013,,поляна,ПОЛЯНА,S f inan nom sg,,,"  Там _поляна_ такая большая ,",а,н,я,л,о,п,S,ПОЛЯНА,S f inan nom sg,А
5014,,такая,ТАКОЙ,APRO - nom sg plen f -,,," Там поляна _такая_ большая , потом",я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
5015,,большая,БОЛЬШОЙ,A - nom sg plen f -,,,"Там поляна такая _большая_ , потом через",я,а,ш,ь,л,о,A,БОЛЬШОЙ,A - nom sg plen f -,Й
5016,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5017,,потом,ПОТОМ,ADVPRO,,,"такая большая , _потом_ через лес ,",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
5018,,через,ЧЕРЕЗ,PR,,,"большая , потом _через_ лес , ну",з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
5019,,лес,ЛЕС,S m inan acc sg,,,", потом через _лес_ , ну ,",с,е,л,,,,S,ЛЕС,S m inan acc sg,С
5020,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5021,,ну,НУ,PART,,,"через лес , _ну_ , как бы идёшь",у,н,,,,,PART,НУ,PART,У
5022,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5023,,как бы,как бы,PART,,,", ну , _как бы_ идёшь через лес",ы,б, ,к,а,к,PART,как бы,ADV -,ы
5024,,идёшь,ИДТИ,V ipf praes sg indic - 2p,,,"ну , как бы _идёшь_ через лес такой",ь,ш,ё,д,и,,V,ИДТИ,V ipf praes sg indic - 2p,И
5025,,через,ЧЕРЕЗ,PR,,,", как бы идёшь _через_ лес такой .",з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
5026,,лес,ЛЕС,S m inan acc sg,,,как бы идёшь через _лес_ такой . ,с,е,л,,,,S,ЛЕС,S m inan acc sg,С
5027,,такой,ТАКОЙ,APRO - acc sg plen m -,,,идёшь через лес _такой_ .  ,й,о,к,а,т,,APRO,ТАКОЙ,A - gen sg plen f -,Й
5028,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
5029,,,,,,,,,,,,,,,,,
5030,# sent = 482,,,,,,,,,,,,,,,,
5031,,И,И,CONJ,,,.   _И_ там берег реки,и,,,,,,CONJ,И,CONJ,И
5032,,там,ТАМ,ADVPRO,,,  И _там_ берег реки и,м,а,т,,,,ADV,ТАМ,ADV -,М
5033,,берег,БЕРЕГ,S m inan nom sg,,, И там _берег_ реки и метров,г,е,р,е,б,,S,БЕРЕГ,S m inan acc sg,Г
5034,,реки,РЕКА,S f inan gen sg,,,И там берег _реки_ и метров тоже,и,к,е,р,,,S,РЕКА,S f inan gen sg,А
5035,,и,И,CONJ,,,там берег реки _и_ метров тоже пятьсот,и,,,,,,CONJ,И,CONJ,И
5036,,метров,МЕТР,S m inan gen pl,,,берег реки и _метров_ тоже пятьсот в,в,о,р,т,е,м,S,МЕТР,S m inan gen pl,Р
5037,,тоже,ТОЖЕ,PART,,,реки и метров _тоже_ пятьсот в сторону,е,ж,о,т,,,PART,ТОЖЕ,PART,Е
5038,,пятьсот,ПЯТЬСОТ,NUM acc - -,,,и метров тоже _пятьсот_ в сторону была,т,о,с,ь,т,я,NUM,ПЯТЬСОТ,NUM acc - -,Т
5039,,в,В,PR,,,метров тоже пятьсот _в_ сторону была паромная,в,,,,,,PR,В,PR,В
5040,,сторону,СТОРОНА,S f inan acc sg,,,тоже пятьсот в _сторону_ была паромная переправа,у,н,о,р,о,т,S,СТОРОНА,S f inan acc sg,А
5041,,была,БЫТЬ,V ipf praet sg indic f -,,,пятьсот в сторону _была_ паромная переправа через,а,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic f -,Ь
5042,,паромная,ПАРОМНЫЙ,A - nom sg plen f -,,,в сторону была _паромная_ переправа через реку,я,а,н,м,о,р,A,ПАРОМНЫЙ,A - nom sg plen f -,Й
5043,,переправа,ПЕРЕПРАВА,S f inan nom sg,,,сторону была паромная _переправа_ через реку Клязьма,а,в,а,р,п,е,S,ПЕРЕПРАВА,S f inan nom sg,А
5044,,через,ЧЕРЕЗ,PR,,,была паромная переправа _через_ реку Клязьма .,з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
5045,,реку,РЕКА,S f inan acc sg,,,паромная переправа через _реку_ Клязьма . ,у,к,е,р,,,S,РЕКА,S f inan acc sg,А
5046,,Клязьма,КЛЯЗЬМА,S f inan nom sg,,,переправа через реку _Клязьма_ .  ,а,м,ь,з,я,л,S,КЛЯЗЬМА,S f inan nom sg,А
5047,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
5048,,,,,,,,,,,,,,,,,
5049,# sent = 483,,,,,,,,,,,,,,,,
5050,,Ну,НУ,PART,,,".   _Ну_ , это возле",у,н,,,,,PART,НУ,PART,У
5051,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5052,,это,ЭТО,SPRO n - nom sg,,," Ну , _это_ возле Коврова ,",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
5053,,возле,ВОЗЛЕ,PR,,,"Ну , это _возле_ Коврова , Владимирская",е,л,з,о,в,,PR,ВОЗЛЕ,PR,Е
5054,,Коврова,КОВРОВ,S m inan gen sg,,,", это возле _Коврова_ , Владимирская область",а,в,о,р,в,о,S,КОВРОВ,S m inan gen sg,В
5055,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5056,,Владимирская,ВЛАДИМИРСКИЙ,A - nom sg plen f -,,,"возле Коврова , _Владимирская_ область . ",я,а,к,с,р,и,A,ВЛАДИМИРСКИЙ,A - nom sg plen f -,Й
5057,,область,ОБЛАСТЬ,S f inan nom sg,,,"Коврова , Владимирская _область_ .  ",ь,т,с,а,л,б,S,ОБЛАСТЬ,S f inan nom sg,Ь
5058,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
5059,,,,,,,,,,,,,,,,,
5060,# sent = 484,,,,,,,,,,,,,,,,
5061,,И,И,CONJ,,,.   _И_ вот там стоял,и,,,,,,CONJ,И,CONJ,И
5062,,вот,ВОТ,PART,,,  И _вот_ там стоял на,т,о,в,,,,PART,ВОТ,PART,Т
5063,,там,ТАМ,ADVPRO,,, И вот _там_ стоял на берегу,м,а,т,,,,ADV,ТАМ,ADV -,М
5064,,стоял,СТОЯТЬ,V ipf praet sg indic m -,,,И вот там _стоял_ на берегу трактор,л,я,о,т,с,,V,СТОЯТЬ,V ipf praet sg indic m -,Ь
5065,,на,НА,PR,,,вот там стоял _на_ берегу трактор .,а,н,,,,,PR,НА,PR,А
5066,,берегу,БЕРЕГ,S m inan loc2 sg,,,там стоял на _берегу_ трактор . ,у,г,е,р,е,б,S,БЕРЕГ,S m inan loc2 sg,Г
5067,,трактор,ТРАКТОР,S m inan nom sg,,,стоял на берегу _трактор_ .  ,р,о,т,к,а,р,S,ТРАКТОР,S m inan nom sg,Р
5068,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
5069,,,,,,,,,,,,,,,,,
5070,# sent = 485,,,,,,,,,,,,,,,,
5071,,Видимо,ВИДИМО,PARENTH,,,".   _Видимо_ , ждал парома",о,м,и,д,и,в,ADV,ВИДИМО,ADV -,О
5072,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5073,,ждал,ЖДАТЬ,V ipf praet sg indic m -,,," Видимо , _ждал_ парома , когда",л,а,д,ж,,,V,ЖДАТЬ,V ipf praet sg indic m -,Ь
5074,,парома,ПАРОМ,S m inan gen sg,,,"Видимо , ждал _парома_ , когда он",а,м,о,р,а,п,S,ПАРОМ,S m inan gen sg,М
5075,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5076,,когда,КОГДА,CONJ,,,"ждал парома , _когда_ он переправится с",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
5077,,он,ОН,SPRO sg 3p m nom,,,"парома , когда _он_ переправится с той",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
5078,,переправится,ПЕРЕПРАВИТЬСЯ,V pf fut sg indic - 3p,,,", когда он _переправится_ с той стороны",я,с,т,и,в,а,V,ПЕРЕПРАВИТЬСЯ,V pf fut sg indic - 3p,Я
5079,,с,С,PR,,,"когда он переправится _с_ той стороны ,",с,,,,,,PR,С,PR,С
5080,,той,ТОТ,APRO - gen sg plen f -,,,"он переправится с _той_ стороны , чтобы",й,о,т,,,,APRO,ТОТ,A - gen sg plen f -,Т
5081,,стороны,СТОРОНА,S f inan gen sg,,,"переправится с той _стороны_ , чтобы переехать",ы,н,о,р,о,т,S,СТОРОНА,S f inan gen sg,А
5082,,0,0,PUNCT,,,,,,,,,,PUNCT,,,
5083,,чтобы,ЧТОБЫ,CONJ,,,"той стороны , _чтобы_ переехать . ",ы,б,о,т,ч,,CONJ,ЧТОБЫ,CONJ,Ы
5084,,переехать,ПЕРЕЕХАТЬ,V pf - - inf - -,,,"стороны , чтобы _переехать_ .  ",ь,т,а,х,е,е,V,ПЕРЕЕХАТЬ,V pf - - inf - -,Ь
5085,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
